match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,impact_player_era_flag,team1_batting_first_flag,team2_batting_first_flag,team1_won_toss_flag,team2_won_toss_flag,team1_chasing_flag,team2_chasing_flag,toss_decision_bat_flag,toss_decision_field_flag,team1_runs_avg_last5,team1_wickets_lost_avg_last5,team1_powerplay_avg_last5,team1_death_avg_last5,team1_runs_conceded_avg_last5,team2_runs_avg_last5,team2_wickets_lost_avg_last5,team2_powerplay_avg_last5,team2_death_avg_last5,team2_runs_conceded_avg_last5,venue_avg_runs,venue_avg_powerplay,venue_avg_death,venue_avg_wickets,venue_runs_avg_last10,venue_powerplay_avg_last10,venue_death_avg_last10,venue_wickets_avg_last10
1136595,2018,2018-05-05,maharashtra cricket association stadium,Pune,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,127,128.0,255.0,0,1,0,0,1,0,1,0,1,178.0,6.2,46.6,53.6,184.6,189.2,4.4,49.2,63.2,186.2,168.16666666666666,46.083333333333336,48.5,5.416666666666667,168.16666666666666,46.083333333333336,48.5,5.416666666666667
1136596,2018,2018-05-05,rajiv gandhi international stadium,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,163,164.0,327.0,0,1,0,1,0,0,1,1,0,185.2,5.6,50.8,57.4,168.0,151.4,6.8,41.4,39.8,144.2,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333
1136597,2018,2018-05-06,wankhede stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,181,168.0,349.0,0,1,0,0,1,0,1,0,1,150.6,6.0,38.8,38.8,159.2,174.8,5.6,52.2,40.4,171.4,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575
1136598,2018,2018-05-06,holkar cricket stadium,Indore,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,Kings XI Punjab,152,155.0,307.0,0,1,0,0,1,0,1,0,1,150.8,7.2,49.6,32.2,176.2,151.0,5.6,53.2,34.4,163.2,162.0,49.625,43.125,5.875,162.0,49.625,43.125,5.875
1136599,2018,2018-05-07,rajiv gandhi international stadium,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,146,141.0,287.0,0,1,0,0,1,0,1,0,1,148.6,6.4,45.6,37.6,138.2,170.0,6.4,45.0,49.4,167.6,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,148.8,48.4,37.1,6.0
1136600,2018,2018-05-08,sawai mansingh stadium,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,Kings XI Punjab,158,143.0,301.0,0,1,0,1,0,0,1,1,0,149.2,7.4,49.0,31.0,174.6,143.4,5.8,50.2,35.0,158.0,157.25,49.5,39.857142857142854,5.571428571428571,157.25,49.5,39.857142857142854,5.571428571428571
1136601,2018,2018-05-09,eden gardens,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,210,108.0,318.0,0,1,0,0,1,0,1,0,1,153.4,5.4,41.4,42.2,159.2,175.8,6.2,51.0,41.2,175.6,183.2716049382716,56.77777777777778,48.851851851851855,6.0246913580246915,163.3,55.7,33.4,6.2
1136602,2018,2018-05-10,arun jaitley stadium,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,187,191.0,378.0,0,1,0,1,0,0,1,1,0,183.0,5.6,57.2,50.8,165.6,142.2,7.2,45.2,33.6,130.0,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487
1136603,2018,2018-05-11,sawai mansingh stadium,Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,176,177.0,353.0,0,1,0,1,0,0,1,1,0,178.4,4.6,52.2,58.6,176.0,152.8,7.0,54.6,33.6,162.4,157.25,49.5,39.857142857142854,5.571428571428571,146.3,47.6,36.6,6.2
1136604,2018,2018-05-12,holkar cricket stadium,Indore,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,Kings XI Punjab,245,214.0,459.0,0,1,0,0,1,0,1,0,1,159.2,6.8,50.4,34.8,192.4,146.8,7.0,42.2,45.2,151.4,162.0,49.625,43.125,5.875,162.0,49.625,43.125,5.875
