match_id,team,bat_runs_avg_last5,bat_balls_avg_last5,bat_fours_avg_last5,bat_sixes_avg_last5,bowl_wickets_avg_last5,bowl_runs_conceded_avg_last5,bowl_dotballs_avg_last5,xi_player_count
1136588,Rajasthan Royals,17.775,12.125,1.35,0.725,0.2,12.600000000000001,3.3,11
1136588,Sunrisers Hyderabad,17.95,14.275,1.6,0.5750000000000001,0.425,10.875,5.05,11
1136589,Kolkata Knight Riders,18.577777777777776,12.533333333333333,1.488888888888889,1.088888888888889,0.48888888888888893,15.333333333333334,4.488888888888889,11
1136589,Royal Challengers Bangalore,20.560000000000002,14.16,1.92,0.76,0.5599999999999999,12.68,3.96,11
1136590,Chennai Super Kings,25.714285714285715,16.4,2.1714285714285717,1.4,0.37142857142857144,12.771428571428572,4.742857142857143,11
1136590,Delhi Daredevils,22.119999999999997,13.680000000000001,1.8,1.3599999999999999,0.68,13.2,4.319999999999999,11
1136591,Mumbai Indians,14.533333333333335,10.955555555555556,1.4444444444444444,0.5555555555555556,0.6444444444444445,14.799999999999999,4.177777777777778,11
1136591,Royal Challengers Bangalore,20.2,13.5,1.6333333333333335,0.9333333333333332,0.43333333333333335,15.033333333333333,3.8333333333333335,11
1136592,Delhi Daredevils,23.919999999999998,14.959999999999999,1.64,1.52,0.48,10.64,4.4,11
1136592,Rajasthan Royals,13.75,9.825,0.925,0.525,0.375,16.475,2.675,11
1136593,Chennai Super Kings,25.657142857142855,15.685714285714285,2.085714285714286,1.5428571428571427,0.3142857142857142,14.0,4.542857142857143,11
1136593,Kolkata Knight Riders,16.466666666666665,11.266666666666666,1.511111111111111,0.8222222222222223,0.4444444444444444,15.777777777777779,4.133333333333333,11
1136594,Kings XI Punjab,13.799999999999999,11.0,1.5142857142857142,0.31428571428571433,0.39999999999999997,13.428571428571429,3.914285714285714,11
1136594,Mumbai Indians,16.466666666666665,12.422222222222222,1.5777777777777777,0.7333333333333333,0.7111111111111111,14.2,4.888888888888889,11
1136595,Chennai Super Kings,20.724999999999998,13.200000000000001,1.5,1.325,0.4,18.275,3.95,11
1136595,Royal Challengers Bangalore,20.17142857142857,13.114285714285714,1.5142857142857142,1.1714285714285713,0.39999999999999997,13.6,3.857142857142857,11
1136596,Delhi Daredevils,21.099999999999998,12.833333333333334,1.4000000000000001,1.4000000000000001,0.5666666666666667,14.299999999999999,3.8333333333333335,11
1136596,Sunrisers Hyderabad,17.942857142857143,14.171428571428573,1.457142857142857,0.6285714285714287,0.5142857142857143,12.657142857142857,4.942857142857143,11
1136597,Kolkata Knight Riders,18.62,12.16,1.8,0.86,0.38,14.939999999999998,4.0,11
1136597,Mumbai Indians,15.25,12.15,1.4749999999999999,0.6,0.7,16.625,4.7250000000000005,11
1136598,Kings XI Punjab,19.428571428571427,13.771428571428572,1.657142857142857,1.0571428571428572,0.39999999999999997,12.799999999999999,4.942857142857143,11
1136598,Rajasthan Royals,16.6,12.133333333333333,1.4,0.5555555555555556,0.35555555555555557,13.266666666666667,3.5999999999999996,11
1136599,Royal Challengers Bangalore,14.333333333333334,9.766666666666667,0.9666666666666667,0.8666666666666666,0.4666666666666666,14.533333333333333,3.033333333333333,11
1136599,Sunrisers Hyderabad,12.16,10.059999999999999,0.9800000000000001,0.42000000000000004,0.62,13.180000000000001,3.7199999999999998,11
1136600,Kings XI Punjab,20.966666666666665,15.0,1.7333333333333334,1.1666666666666667,0.6,14.233333333333334,5.566666666666666,11
