iter	MAE
0	42.71050049
1	42.38120197
2	42.16139396
3	41.86851738
4	41.5249143
5	41.31060424
6	41.07343998
7	40.85313749
8	40.61647084
9	40.4127431
10	40.27200083
11	40.03435574
12	39.83598892
13	39.62365868
14	39.38473369
15	39.12602088
16	38.96659907
17	38.68362724
18	38.54479392
19	38.23228487
20	38.00108059
21	37.82647335
22	37.58319541
23	37.39901978
24	37.12616759
25	36.98597906
26	36.79146425
27	36.54910042
28	36.37830972
29	36.23945881
30	36.10557083
31	35.94003288
32	35.65542664
33	35.57198492
34	35.35236042
35	35.17507378
36	34.94478957
37	34.73332926
38	34.54182914
39	34.44451269
40	34.31061527
41	34.26123672
42	33.99736791
43	33.8630488
44	33.78761898
45	33.62741626
46	33.50217448
47	33.38975967
48	33.22958707
49	33.05130585
50	32.83541984
51	32.7471635
52	32.57176999
53	32.46923517
54	32.34736369
55	32.25702035
56	32.11458669
57	31.99298708
58	31.87798248
59	31.78834746
60	31.65954259
61	31.5346528
62	31.40748863
63	31.30215192
64	31.21364416
65	31.11527853
66	30.96363251
67	30.85704466
68	30.71149468
69	30.62124747
70	30.46215659
71	30.35376136
72	30.27520382
73	30.22609019
74	30.12231601
75	29.9800999
76	29.89602858
77	29.84916702
78	29.68272655
79	29.61278566
80	29.47608529
81	29.40136652
82	29.29796428
83	29.18397613
84	29.11061636
85	28.99163614
86	28.92237361
87	28.85954112
88	28.75566357
89	28.69144219
90	28.57010167
91	28.38642924
92	28.27557706
93	28.1792008
94	28.07954409
95	27.98079497
96	27.8979265
97	27.74837084
98	27.620002
99	27.56265851
100	27.51503457
101	27.37342669
102	27.27808918
103	27.14403276
104	27.06157391
105	26.94882054
106	26.82940786
107	26.73552832
108	26.68683573
109	26.64293715
110	26.57164195
111	26.46703752
112	26.46161072
113	26.38487539
114	26.26614135
115	26.20981748
116	26.15728241
117	26.08467592
118	25.92616631
119	25.84969061
120	25.82032794
121	25.7270425
122	25.65789022
123	25.57614528
124	25.51300596
125	25.39876046
126	25.29736323
127	25.21042454
128	25.12439102
129	25.05389453
130	24.9855353
131	24.93927965
132	24.8944273
133	24.84654583
134	24.74804238
135	24.66855737
136	24.55915575
137	24.53195026
138	24.44484017
139	24.35236768
140	24.30905778
141	24.26466752
142	24.26366528
143	24.21395528
144	24.13091275
145	24.07883361
146	24.00075338
147	23.9355721
148	23.85153297
149	23.80066254
150	23.73620518
151	23.70609231
152	23.67765297
153	23.61231989
154	23.54736531
155	23.44942897
156	23.38435051
157	23.29165491
158	23.2145876
159	23.15897083
160	23.07044909
161	23.01881314
162	22.96356949
163	22.91659943
164	22.87920684
165	22.82649343
166	22.78053243
167	22.68745619
168	22.59177676
169	22.56029391
170	22.5217213
171	22.46097876
172	22.3364783
173	22.28041864
174	22.21540366
175	22.1557634
176	22.10648838
177	22.05937183
178	21.95802682
179	21.90578269
180	21.832764
181	21.76427829
182	21.70589118
183	21.65468932
184	21.58342612
185	21.54765579
186	21.52033879
187	21.43457604
188	21.36621686
189	21.31479802
190	21.26450673
191	21.21364221
192	21.14673889
193	21.09505419
194	21.05455797
195	21.00538212
196	20.96227014
197	20.88964697
198	20.84651173
199	20.79745978
200	20.69429986
201	20.66575211
202	20.60994116
203	20.55476315
204	20.46410263
205	20.41359515
206	20.35023365
207	20.26422511
208	20.21943751
209	20.17055223
210	20.13611008
211	20.06037782
212	19.98598873
213	19.89416585
214	19.81578613
215	19.74447997
216	19.70337667
217	19.66589369
218	19.6309288
219	19.55188106
220	19.48831387
221	19.38447158
222	19.2946086
223	19.22048905
224	19.1625714
225	19.1108858
226	19.06316767
227	19.03237141
228	18.96828108
229	18.93160636
230	18.86593262
231	18.82215855
232	18.76622848
233	18.70091256
234	18.68598211
235	18.61732278
236	18.58513933
237	18.54450354
238	18.49108338
239	18.45416799
240	18.37585874
241	18.33328398
242	18.28506262
243	18.20807886
244	18.15413648
245	18.12340587
246	18.09625727
247	18.0222378
248	18.0053411
249	17.95767073
250	17.88688283
251	17.86192913
252	17.79937215
253	17.76290183
254	17.72958994
255	17.69016078
256	17.64945619
257	17.59385
258	17.5362838
259	17.49628973
260	17.46766387
261	17.42980477
262	17.3953018
263	17.34323893
264	17.29788971
265	17.25394342
266	17.19563287
267	17.11943772
268	17.04259156
269	16.97048787
270	16.93540088
271	16.8872382
272	16.84748432
273	16.83615871
274	16.79880307
275	16.77227635
276	16.71650678
277	16.64232026
278	16.61497004
279	16.60133383
280	16.57840738
281	16.54870301
282	16.5329964
283	16.50806782
284	16.46691133
285	16.42488699
286	16.38055081
287	16.36702286
288	16.34363513
289	16.29009497
290	16.27358137
291	16.22725687
292	16.20292776
293	16.16005297
294	16.12369971
295	16.07304292
296	16.0236746
297	16.00300068
298	15.98624189
299	15.93725913
300	15.9042751
301	15.84385712
302	15.81238389
303	15.77874381
304	15.71876467
305	15.69930939
306	15.66469333
307	15.62768954
308	15.5793281
309	15.46922707
310	15.42049784
311	15.39117236
312	15.31469019
313	15.27682324
314	15.2248071
315	15.17219644
316	15.11020905
317	15.03028078
318	14.9431248
319	14.8630018
320	14.82073719
321	14.78408991
322	14.74600046
323	14.69019251
324	14.66897385
325	14.63154021
326	14.58384677
327	14.55665628
328	14.52685709
329	14.48952855
330	14.47907568
331	14.40902341
332	14.39119456
333	14.37156097
334	14.32594839
335	14.30255546
336	14.26410337
337	14.20894781
338	14.17706635
339	14.14680818
340	14.0930673
341	14.04756935
342	14.00404949
343	13.95582476
344	13.90841024
345	13.88387724
346	13.85748155
347	13.83737492
348	13.81162525
349	13.77731347
350	13.75173965
351	13.70459857
